AccountKey,AccountNumber,AccountName,Category_L1,Subcategory_L2,DetailGroup_L3,Region,Department,CashFlowSection,CashFlowLine,NormalBalance
3400-GEN,340000,Treasury Stock,Equity,Shareholders Equity,Paid-in Capital,Global,Corporate/HQ,Financing,Equity financing,Credit
3900-GEN,390000,Other Comprehensive Income,Equity,Shareholders Equity,Other Equity,Global,Corporate/HQ,Financing,Equity financing,Credit
4010-ENT,401000,Product Sales - North America - Enterprise Software,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4010-HAR,401001,Product Sales - North America - Hardware Units,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4010-MAI,401002,Product Sales - North America - Maintenance Contracts,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4020-ENT,402000,Product Sales - Europe - Enterprise Software,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4020-HAR,402001,Product Sales - Europe - Hardware Units,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4020-MAI,402002,Product Sales - Europe - Maintenance Contracts,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4030-ENT,403000,Product Sales - Asia Pacific - Enterprise Software,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4030-HAR,403001,Product Sales - Asia Pacific - Hardware Units,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4030-MAI,403002,Product Sales - Asia Pacific - Maintenance Contracts,Revenue,Operating Revenue,Product Revenue,Segmented,Sales,Operating,Customer receipts and revenue activity,Credit
4110-GEN,411000,Service Revenue - Consulting,Revenue,Operating Revenue,Service Revenue,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
4120-GEN,412000,Service Revenue - Implementation,Revenue,Operating Revenue,Service Revenue,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
4210-GEN,421000,SaaS Subscription Revenue,Revenue,Operating Revenue,Subscription Revenue,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
4300-GEN,430000,Sales Returns and Allowances,Revenue,Operating Revenue,Revenue Deductions,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
4310-GEN,431000,Sales Discounts Offered,Revenue,Operating Revenue,Revenue Deductions,Global,Corporate/HQ,Operating,Customer receipts and revenue activity,Credit
5010-GEN,501000,COGS - Raw Material Costs,Expenses,Cost of Goods Sold,Direct Material Costs,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5020-GEN,502000,COGS - Production Labor Wages,Expenses,Cost of Goods Sold,Direct Labor Costs,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5030-GEN,503000,COGS - Subcontractor Fees,Expenses,Cost of Goods Sold,Direct Labor Costs,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5110-GEN,511000,Factory Overhead - Utilities,Expenses,Cost of Goods Sold,Factory Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5120-GEN,512000,Factory Overhead - Maintenance,Expenses,Cost of Goods Sold,Factory Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5130-GEN,513000,Freight-In / Shipping Inbound,Expenses,Cost of Goods Sold,Logistics Costs,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
5200-GEN,520000,Inventory Write-downs & Scrap,Expenses,Cost of Goods Sold,Direct Material Costs,Global,Corporate/HQ,Operating,Inventory and supplier payments,Debit
6010-10,601010,Salaries - Sales & Marketing Team - Corporate/HQ,Expenses,Operating Expenses,Personnel Expenses,Global,Corporate/HQ,Operating,Payroll and people costs,Debit
6010-20,601020,Salaries - Sales & Marketing Team - Sales,Expenses,Operating Expenses,Personnel Expenses,Global,Sales,Operating,Payroll and people costs,Debit
6010-21,601021,Salaries - Sales & Marketing Team - Marketing,Expenses,Operating Expenses,Personnel Expenses,Global,Marketing,Operating,Payroll and people costs,Debit
6010-30,601030,Salaries - Sales & Marketing Team - Engineering/R&D,Expenses,Operating Expenses,Personnel Expenses,Global,Engineering/R&D,Operating,Payroll and people costs,Debit
6010-40,601040,Salaries - Sales & Marketing Team - Operations/Logistics,Expenses,Operating Expenses,Personnel Expenses,Global,Operations/Logistics,Operating,Payroll and people costs,Debit
6010-50,601050,Salaries - Sales & Marketing Team - Customer Support,Expenses,Operating Expenses,Personnel Expenses,Global,Customer Support,Operating,Payroll and people costs,Debit
6010-60,601060,Salaries - Sales & Marketing Team - Human Resources,Expenses,Operating Expenses,Personnel Expenses,Global,Human Resources,Operating,Payroll and people costs,Debit
6010-70,601070,Salaries - Sales & Marketing Team - Finance & Legal,Expenses,Operating Expenses,Personnel Expenses,Global,Finance & Legal,Operating,Payroll and people costs,Debit
6020-10,602010,Salaries - Research & Development - Corporate/HQ,Expenses,Operating Expenses,Personnel Expenses,Global,Corporate/HQ,Investing,Payroll and people costs,Debit
6020-20,602020,Salaries - Research & Development - Sales,Expenses,Operating Expenses,Personnel Expenses,Global,Sales,Investing,Payroll and people costs,Debit
6020-21,602021,Salaries - Research & Development - Marketing,Expenses,Operating Expenses,Personnel Expenses,Global,Marketing,Investing,Payroll and people costs,Debit
6020-30,602030,Salaries - Research & Development - Engineering/R&D,Expenses,Operating Expenses,Personnel Expenses,Global,Engineering/R&D,Investing,Payroll and people costs,Debit
6020-40,602040,Salaries - Research & Development - Operations/Logistics,Expenses,Operating Expenses,Personnel Expenses,Global,Operations/Logistics,Investing,Payroll and people costs,Debit
6020-50,602050,Salaries - Research & Development - Customer Support,Expenses,Operating Expenses,Personnel Expenses,Global,Customer Support,Investing,Payroll and people costs,Debit
6020-60,602060,Salaries - Research & Development - Human Resources,Expenses,Operating Expenses,Personnel Expenses,Global,Human Resources,Investing,Payroll and people costs,Debit
6020-70,602070,Salaries - Research & Development - Finance & Legal,Expenses,Operating Expenses,Personnel Expenses,Global,Finance & Legal,Investing,Payroll and people costs,Debit
6030-10,603010,Salaries - General & Administrative - Corporate/HQ,Expenses,Operating Expenses,Personnel Expenses,Global,Corporate/HQ,Operating,Payroll and people costs,Debit
6030-20,603020,Salaries - General & Administrative - Sales,Expenses,Operating Expenses,Personnel Expenses,Global,Sales,Operating,Payroll and people costs,Debit
6030-21,603021,Salaries - General & Administrative - Marketing,Expenses,Operating Expenses,Personnel Expenses,Global,Marketing,Operating,Payroll and people costs,Debit
6030-30,603030,Salaries - General & Administrative - Engineering/R&D,Expenses,Operating Expenses,Personnel Expenses,Global,Engineering/R&D,Operating,Payroll and people costs,Debit
6030-40,603040,Salaries - General & Administrative - Operations/Logistics,Expenses,Operating Expenses,Personnel Expenses,Global,Operations/Logistics,Operating,Payroll and people costs,Debit
6030-50,603050,Salaries - General & Administrative - Customer Support,Expenses,Operating Expenses,Personnel Expenses,Global,Customer Support,Operating,Payroll and people costs,Debit
6030-60,603060,Salaries - General & Administrative - Human Resources,Expenses,Operating Expenses,Personnel Expenses,Global,Human Resources,Operating,Payroll and people costs,Debit
6030-70,603070,Salaries - General & Administrative - Finance & Legal,Expenses,Operating Expenses,Personnel Expenses,Global,Finance & Legal,Operating,Payroll and people costs,Debit
6050-GEN,605000,Sales Commissions,Expenses,Operating Expenses,Personnel Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6100-GEN,610000,General Facilities & Overhead,Expenses,Operating Expenses,Facilities & Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6110-US,611001,Office Rent Expense - United States,Expenses,Operating Expenses,Facilities & Overhead,United States,Shared Services,Operating,Operating supplier payments,Debit
6110-CA,611002,Office Rent Expense - Canada,Expenses,Operating Expenses,Facilities & Overhead,Canada,Shared Services,Operating,Operating supplier payments,Debit
6110-UK,611003,Office Rent Expense - United Kingdom,Expenses,Operating Expenses,Facilities & Overhead,United Kingdom,Shared Services,Operating,Operating supplier payments,Debit
6110-EU,611004,Office Rent Expense - Europe (Eurozone),Expenses,Operating Expenses,Facilities & Overhead,Europe (Eurozone),Shared Services,Operating,Operating supplier payments,Debit
6110-APAC,611005,Office Rent Expense - Asia Pacific,Expenses,Operating Expenses,Facilities & Overhead,Asia Pacific,Shared Services,Operating,Operating supplier payments,Debit
6120-US,612001,"Electricity, Water & Utilities - United States",Expenses,Operating Expenses,Facilities & Overhead,United States,Shared Services,Operating,Operating supplier payments,Debit
6120-CA,612002,"Electricity, Water & Utilities - Canada",Expenses,Operating Expenses,Facilities & Overhead,Canada,Shared Services,Operating,Operating supplier payments,Debit
6120-UK,612003,"Electricity, Water & Utilities - United Kingdom",Expenses,Operating Expenses,Facilities & Overhead,United Kingdom,Shared Services,Operating,Operating supplier payments,Debit
6120-EU,612004,"Electricity, Water & Utilities - Europe (Eurozone)",Expenses,Operating Expenses,Facilities & Overhead,Europe (Eurozone),Shared Services,Operating,Operating supplier payments,Debit
6120-APAC,612005,"Electricity, Water & Utilities - Asia Pacific",Expenses,Operating Expenses,Facilities & Overhead,Asia Pacific,Shared Services,Operating,Operating supplier payments,Debit
6130-GEN,613000,Office Cleaning & Maintenance,Expenses,Operating Expenses,Facilities & Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6210-GEN,621000,Digital Advertising & Paid Media,Expenses,Operating Expenses,Marketing & Selling,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6220-GEN,622000,Trade Shows & Event Events,Expenses,Operating Expenses,Marketing & Selling,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6230-GEN,623000,Marketing Agency Fees,Expenses,Operating Expenses,Marketing & Selling,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6310-US,631001,Software Licensing & SaaS Tools - United States,Expenses,Operating Expenses,Technology & IT,United States,Shared Services,Operating,Operating supplier payments,Debit
6310-CA,631002,Software Licensing & SaaS Tools - Canada,Expenses,Operating Expenses,Technology & IT,Canada,Shared Services,Operating,Operating supplier payments,Debit
6310-UK,631003,Software Licensing & SaaS Tools - United Kingdom,Expenses,Operating Expenses,Technology & IT,United Kingdom,Shared Services,Operating,Operating supplier payments,Debit
6310-EU,631004,Software Licensing & SaaS Tools - Europe (Eurozone),Expenses,Operating Expenses,Technology & IT,Europe (Eurozone),Shared Services,Operating,Operating supplier payments,Debit
6310-APAC,631005,Software Licensing & SaaS Tools - Asia Pacific,Expenses,Operating Expenses,Technology & IT,Asia Pacific,Shared Services,Operating,Operating supplier payments,Debit
6320-GEN,632000,IT Support & Cloud Hosting Services,Expenses,Operating Expenses,Technology & IT,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6330-GEN,633000,Telecommunications & Internet,Expenses,Operating Expenses,Technology & IT,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6410-US,641001,Travel - Flights & Transport - United States,Expenses,Operating Expenses,Travel & Entertainment,United States,Shared Services,Operating,Operating supplier payments,Debit
6410-CA,641002,Travel - Flights & Transport - Canada,Expenses,Operating Expenses,Travel & Entertainment,Canada,Shared Services,Operating,Operating supplier payments,Debit
6410-UK,641003,Travel - Flights & Transport - United Kingdom,Expenses,Operating Expenses,Travel & Entertainment,United Kingdom,Shared Services,Operating,Operating supplier payments,Debit
6410-EU,641004,Travel - Flights & Transport - Europe (Eurozone),Expenses,Operating Expenses,Travel & Entertainment,Europe (Eurozone),Shared Services,Operating,Operating supplier payments,Debit
6410-APAC,641005,Travel - Flights & Transport - Asia Pacific,Expenses,Operating Expenses,Travel & Entertainment,Asia Pacific,Shared Services,Operating,Operating supplier payments,Debit
6420-GEN,642000,Travel - Hotels & Lodging,Expenses,Operating Expenses,Travel & Entertainment,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6430-GEN,643000,Client Entertainment & Meals,Expenses,Operating Expenses,Travel & Entertainment,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6510-GEN,651000,Legal Fees & Regulatory Compliance,Expenses,Operating Expenses,Professional Fees,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6520-GEN,652000,"Accounting, Bookkeeping & Audit",Expenses,Operating Expenses,Professional Fees,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6530-GEN,653000,Management Consulting Fees,Expenses,Operating Expenses,Professional Fees,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6610-GEN,661000,General Office Supplies,Expenses,Operating Expenses,Facilities & Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6620-GEN,662000,"Postage, Courier & Shipping Outbound",Expenses,Operating Expenses,Facilities & Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6710-GEN,671000,Business Insurance Policies,Expenses,Operating Expenses,Facilities & Overhead,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6810-GEN,681000,Bad Debt Expense,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6820-GEN,682000,Bank Service Charges & Transaction Fees,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-146,699146,Miscellaneous Operating Expense Line Item variant 146,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-147,699147,Miscellaneous Operating Expense Line Item variant 147,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-148,699148,Miscellaneous Operating Expense Line Item variant 148,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-149,699149,Miscellaneous Operating Expense Line Item variant 149,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-150,699150,Miscellaneous Operating Expense Line Item variant 150,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-151,699151,Miscellaneous Operating Expense Line Item variant 151,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-152,699152,Miscellaneous Operating Expense Line Item variant 152,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-153,699153,Miscellaneous Operating Expense Line Item variant 153,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-154,699154,Miscellaneous Operating Expense Line Item variant 154,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-155,699155,Miscellaneous Operating Expense Line Item variant 155,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-156,699156,Miscellaneous Operating Expense Line Item variant 156,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-157,699157,Miscellaneous Operating Expense Line Item variant 157,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-158,699158,Miscellaneous Operating Expense Line Item variant 158,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-159,699159,Miscellaneous Operating Expense Line Item variant 159,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-160,699160,Miscellaneous Operating Expense Line Item variant 160,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-161,699161,Miscellaneous Operating Expense Line Item variant 161,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-162,699162,Miscellaneous Operating Expense Line Item variant 162,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-163,699163,Miscellaneous Operating Expense Line Item variant 163,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-164,699164,Miscellaneous Operating Expense Line Item variant 164,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-165,699165,Miscellaneous Operating Expense Line Item variant 165,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-166,699166,Miscellaneous Operating Expense Line Item variant 166,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-167,699167,Miscellaneous Operating Expense Line Item variant 167,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-168,699168,Miscellaneous Operating Expense Line Item variant 168,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-169,699169,Miscellaneous Operating Expense Line Item variant 169,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-170,699170,Miscellaneous Operating Expense Line Item variant 170,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-171,699171,Miscellaneous Operating Expense Line Item variant 171,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-172,699172,Miscellaneous Operating Expense Line Item variant 172,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-173,699173,Miscellaneous Operating Expense Line Item variant 173,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-174,699174,Miscellaneous Operating Expense Line Item variant 174,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-175,699175,Miscellaneous Operating Expense Line Item variant 175,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-176,699176,Miscellaneous Operating Expense Line Item variant 176,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-177,699177,Miscellaneous Operating Expense Line Item variant 177,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-178,699178,Miscellaneous Operating Expense Line Item variant 178,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-179,699179,Miscellaneous Operating Expense Line Item variant 179,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-180,699180,Miscellaneous Operating Expense Line Item variant 180,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-181,699181,Miscellaneous Operating Expense Line Item variant 181,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-182,699182,Miscellaneous Operating Expense Line Item variant 182,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-183,699183,Miscellaneous Operating Expense Line Item variant 183,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
6999-EXT-184,699184,Miscellaneous Operating Expense Line Item variant 184,Expenses,Operating Expenses,Other Operating Expenses,Global,Corporate/HQ,Operating,Operating supplier payments,Debit
